[2025-01-24 18:44:10,400: INFO: main: Welcome]
[2025-01-26 22:53:04,350: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-26 22:53:04,354: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-26 22:53:04,355: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-26 22:53:04,355: INFO: common: created directory at: artifacts]
[2025-01-26 22:53:04,356: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-26 22:53:04,356: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1LURn9pvOaJjuBA9Oi6tx40bTkaYrlrHQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-26 22:53:46,490: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1LURn9pvOaJjuBA9Oi6tx40bTkaYrlrHQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-26 22:53:47,436: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
